Nama Hotel,Harga Hotel,Bintang
Tatti Inn Syariah Seturan RedPartner,"91,718",2
Hotel Wijaya Family 2,"90,984",5
RedDoorz Syariah @ Babadan Baru Jakal,"90,935",2
OYO 90210 Kenari House Syariah,"90,392",2
RedDoorz near Hartono Mall 3,"90,290",2
Urbanview Omah Eka Santi by RedDoorz,"90,089",3
Griya Nawastika @Jakal KM 8 Mitra RedDoorz,"89,800",2
The Capsule Malioboro,"89,410",0
Just 11 Boutique Syariah Mitra RedDoorz near UGM Yogyakarta,"89,246",2
Collection O Kp Inn Yogyakarta,"88,379",2
My Cafe Hotel near UGM Yogyakarta Mitra RedDoorz,"88,349",2
RedDoorz near Plaza Ambarrukmo Yogyakarta,"88,326",2
OYO 444 Rafitha Homestay,"87,975",3
Omah Atik,"87,865",0
RedDoorz near UPN 3 Seturan Yogyakarta,"86,774",2
HUBS Hostel Yogyakarta,"84,573",0
d'WF Hotel,"83,459",1
OYO 2285 Art Guest House Syariah,"83,028",3
Hotel Winotosastro by Athelu,"82,667",0
Urbanview Hotel Pondok Anggun Yogyakarta by RedDoorz,"82,491",3
RedDoorz Plus @ Pogung Raya,"82,414",3
RedDoorz @ Hotel Sartika Yogyakarta,"82,361",2
OYO 1150 Omah Ladrang,"81,760",2
OYO 90033 DeHome Family,"78,267",2
RedDoorz near Lippo Mall Yogyakarta 2  ,"72,821",2
Super OYO 91173 Guesthouse King Puntodewo,"72,252",2
Saijaan Yogyakarta Mitra RedDoorz,"72,037",2
Wakeup Homestay,"71,828",1
OYO 91172 Trihakso Guesthouse,"71,117",2
TAMU CAPSULE HOTEL,"70,226",2
Griya 90TR Syariah,"69,080",0
Kalingga Sekar,"67,259",0
OYO 91920 Pondok'ku Inn Syariah,"66,475",2
OYO 324 Maleo Kostel,"65,925",2
SPOT ON 2881 Nabila Homestay,"61,013",0
Rumah Panjaitan,"59,318",3
OYO 93607 Penak Malioboro Bunk Bed,"59,287",2
Sante Commune Yogyakarta,"58,014",0
NAU Hostel by NGINAP,"57,403",0
Capital O 93882 The Pondok Palma Villa & Resto,"57,059",3
Yogyakarta BnB Malioboro,"53,008",0
SPOT ON 2275 Omah Jm,"52,153",2
Home Addicts Hostel Yogyakarta,"50,854",0
RedDoorz Hostel near Stadion Mandala Krida Yogya,"42,972",2
Super OYO 3846 Rumah Prambanan,"38,872",2
Glory Homestay,"35,246",0
SUPER OYO 1959 Penginapan Kepurun Pawana Indonesia,"34,830",2
OYO 94009 Homestay Ndalem Kademangan,"33,829",2
SPOT ON 93182 Hotel Jaya Kusuma,"26,346",2
